epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4279.76,1.05272,0.54275,1.14589,0.86501,0.81504,0.87427,0.55822,1.17695,0.755,1.30216,0.000964975,0.000964975,0.000964975
43,4381.08,1.04089,0.5355,1.13417,0.8556,0.83205,0.8937,0.59172,1.13218,0.72053,1.2778,0.000953657,0.000953657,0.000953657
44,4481.76,1.05122,0.53725,1.1381,0.89329,0.79762,0.90129,0.5907,1.16057,0.71422,1.28055,0.00094234,0.00094234,0.00094234
45,4582.11,1.04228,0.5321,1.12475,0.88112,0.79661,0.88567,0.59745,1.11757,0.71263,1.271,0.000931022,0.000931022,0.000931022
46,4682.45,1.03452,0.52125,1.1289,0.87722,0.82846,0.90123,0.5934,1.14818,0.70487,1.28389,0.000919704,0.000919704,0.000919704
47,4782.98,1.03323,0.52611,1.12328,0.92574,0.82546,0.91995,0.60318,1.16797,0.65031,1.28468,0.000908387,0.000908387,0.000908387
48,4883.81,1.03611,0.52555,1.13012,0.88755,0.8524,0.91568,0.61392,1.10726,0.66818,1.2673,0.000897069,0.000897069,0.000897069
49,4984.39,1.0366,0.51648,1.12626,0.92984,0.80202,0.8982,0.57999,1.1872,0.70232,1.28894,0.000885751,0.000885751,0.000885751
50,5084.75,1.00948,0.5081,1.10908,0.89742,0.8044,0.88943,0.59459,1.11451,0.71006,1.25156,0.000874434,0.000874434,0.000874434
51,5185.05,1.02993,0.51811,1.12051,0.89167,0.81123,0.88971,0.58778,1.1343,0.7104,1.27497,0.000863116,0.000863116,0.000863116
52,5285.62,1.02534,0.50861,1.12149,0.94196,0.81487,0.89675,0.59605,1.14458,0.66695,1.28734,0.000851798,0.000851798,0.000851798
53,5386.03,1.02127,0.50391,1.10691,0.88478,0.82218,0.90699,0.59022,1.15696,0.69333,1.27045,0.000840481,0.000840481,0.000840481
54,5486.63,1.0216,0.51258,1.1278,0.91626,0.83148,0.89929,0.58059,1.16298,0.67362,1.29086,0.000829163,0.000829163,0.000829163
55,5586.79,1.0225,0.51704,1.12158,0.89159,0.86183,0.90199,0.5916,1.16481,0.67523,1.29488,0.000817845,0.000817845,0.000817845
56,5687.4,1.01109,0.50365,1.11251,0.93267,0.84993,0.91011,0.59894,1.14766,0.65849,1.27357,0.000806528,0.000806528,0.000806528
57,5789.01,1.01183,0.49717,1.11331,0.92039,0.8358,0.92093,0.60489,1.13784,0.64762,1.27088,0.00079521,0.00079521,0.00079521
58,5889.45,1.00244,0.49434,1.10759,0.92491,0.82854,0.90532,0.59105,1.13846,0.66849,1.27765,0.000783892,0.000783892,0.000783892
59,5990.8,1.00558,0.4911,1.11032,0.91409,0.85699,0.91994,0.60248,1.16056,0.63697,1.27658,0.000772575,0.000772575,0.000772575
60,6091.32,1.00062,0.48675,1.11413,0.8862,0.8661,0.91147,0.60081,1.13033,0.63477,1.27518,0.000761257,0.000761257,0.000761257
61,6192.43,1.00177,0.49245,1.1014,0.91202,0.80013,0.89679,0.59659,1.12754,0.69396,1.26417,0.000749939,0.000749939,0.000749939
62,6293.56,0.99394,0.49385,1.09899,0.89665,0.82412,0.9122,0.6037,1.15289,0.63638,1.28165,0.000738622,0.000738622,0.000738622
63,6394.11,0.98467,0.47904,1.0937,0.93278,0.8239,0.89668,0.59075,1.1446,0.67175,1.28308,0.000727304,0.000727304,0.000727304
64,6495.27,0.97974,0.48215,1.09443,0.93658,0.82477,0.91053,0.60759,1.13824,0.63167,1.27132,0.000715986,0.000715986,0.000715986
65,6595.82,0.96984,0.47296,1.08409,0.93912,0.85228,0.91471,0.59543,1.14945,0.64886,1.27752,0.000704668,0.000704668,0.000704668
66,6696.6,0.98029,0.4778,1.09771,0.86628,0.80821,0.87486,0.5625,1.1697,0.73061,1.2881,0.000693351,0.000693351,0.000693351
67,6797.28,0.97807,0.48679,1.10145,0.88583,0.83475,0.8942,0.58226,1.18127,0.68259,1.30225,0.000682033,0.000682033,0.000682033
68,6897.5,0.97461,0.47413,1.09488,0.85273,0.82586,0.88986,0.58729,1.14788,0.67629,1.28367,0.000670715,0.000670715,0.000670715
69,6998.4,0.97272,0.47624,1.09568,0.90914,0.84956,0.91528,0.59648,1.15945,0.62221,1.2814,0.000659398,0.000659398,0.000659398
70,7099.15,0.97213,0.47732,1.09682,0.87506,0.85374,0.88884,0.5976,1.1292,0.68298,1.27729,0.00064808,0.00064808,0.00064808
71,7200.48,0.9609,0.47839,1.08179,0.92167,0.83084,0.89922,0.57135,1.20464,0.69369,1.32185,0.000636762,0.000636762,0.000636762
72,7301.51,0.96145,0.46908,1.08737,0.92955,0.83347,0.90683,0.58612,1.17278,0.633,1.28777,0.000625445,0.000625445,0.000625445
73,7403.09,0.97045,0.46128,1.09085,0.91177,0.84292,0.91168,0.60057,1.1569,0.63163,1.28441,0.000614127,0.000614127,0.000614127
